Station_Number,PCTG_DH25
47053,0.048673731041082
76031,0.05076215304495
76047,0.048967153835324
76064,0.04452477836481
77004,0.02740150186498
77010,0.046468348087542
77035,0.040195215981239
77094,0.047050783383826
78015,0.031132546206661
78018,0.045832177311175
78072,0.021184051232932
78077,0.031875114183858
78086,0.034751476317752
79023,0.023261093660795
79028,0.025712995298488
79097,0.020016098721064
79099,0.019495255451465
79101,0.000401884433
79103,0
79105,0.014696791050276
80002,0.031748362316223
80015,0.035927783891508
80023,0.048122495382384
80049,0.026743821880408
80091,0.026514920332296
80101,0.037035601132173
80128,0.038966932206263
81000,0.013822789265168
81013,0.019409392038703
81044,0.032940672437276
81049,0.022666377985491
81123,0.02126929570979
81124,0.037942649710751
81125,0.033318019898658
82001,0.006048364493186
82039,0.042679122661572
82042,0.006635636504149
82056,0.033743186765317
82068,0.025228292979552
82076,0.018520503453282
82092,0.007341206807476
82138,0.036200596873981
82139,0.000406820980571
82169,0.031630343490724
82170,0.032828098950883
83024,0
83033,0.001978398315513
83067,0.019106782137383
83073,0
83083,0.021912201399481
83084,0
83085,0
83090,0.002452481354158
84028,0.007907059934927
84070,0
84084,0
84142,0
84143,0.000161340564355
84144,0.000254660882833
84145,0.001800116314634
84150,0.000172996818066
85072,0.000752891081586
85082,0.006150652766089
85096,0
85099,0.002412463317938
85151,0.001762457206457
85227,0.001679780226413
85277,0.00041508112906
85279,0.001791936239323
85280,0.00463576626352
85283,0.002445445853718
79100,0.027578069540242
82016,0.020515097346503
84016,0
85291,0
86371,0.000375081059526
88110,0.011251249721427
85296,0.000348222322902
85301,0.001860517199126
85313,0.009753769132499
85314,0.015523080785178
86038,0.002193509475621
86068,0.010838855983069
86079,0.003127001609357
86094,0.003279310113362
86104,0.004841789408199
86127,0.000208009038047
86142,0
86224,0.008393421206637
86266,0.001654875165105
86282,0.004284547693776
86351,0.004627354953088
86361,0.00045787068491
86364,0.008142899792109
86373,8.09747245478435E-05
86375,0.001796417177394
86383,0.010673744186594
87021,0.000337139693522
87036,0.000205938935004
87113,0.003705298479785
87166,0.00024403298997
87168,0.001287212626155
87184,0.006639029343628
88001,0.024903668344547
88015,0.008934772423368
88019,0.005892251773934
88023,0.018365921929532
88029,0.017809619995748
88051,0.016352737617524
88053,0.025832900215273
88109,0.022905449053259
88123,0.001477257393501
88162,0.000382755428181
88164,0.004098822099277
88166,0.048063339309514
88167,0.053579073046828
89002,8.18716590028487E-05
89018,0.004705235696074
89085,0.005649765022438
89092,0.033898162033584
89112,0.009961174209499
90015,0
90035,0.001607500606135
90077,0.006567558690881
90135,0.007136746808386
90171,0
90176,0.003576796957976
90180,0
90182,0.010723174653469
90184,0
90186,0.001134903411786
90192,0
90194,0.006332559218417
